Season,#,Team,Yards/G,Rush/G,Rush/P,Pass/G,QBR,Sacks,3rd%,Poss/G,Pts/G
2021,1, Buffalo,272.8,109.8,4.2,163,65.3,42,30.8,28:33:00,17
2021,2, Carolina,305.9,113.8,4.1,192.1,95,39,37.8,29:31:00,23.8
2021,3, San Francisco,310,103.5,4,206.5,97,48,40,29:47:00,21.5
2021,4, New England,310.8,123.7,4.5,187.1,73.3,36,36.5,29:43:00,17.8
2021,5, Cleveland,311.5,109.2,4.2,202.3,89.4,43,39.3,29:11:00,21.8
2021,6, Chicago,316.7,125.1,4.4,191.6,103.3,49,38.4,29:40:00,23.9
2021,7, New Orleans,318.2,93.5,3.7,224.8,81.7,46,37.1,29:40:00,19.7
2021,8, Denver,326.1,111.3,4.3,214.8,85,36,44.9,29:11:00,18.9
2021,9, Green Bay,328.2,109.1,4.7,219.1,86.9,39,42.9,27:29:00,21.8
2021,10, Philadelphia,328.8,107.9,4,220.9,95.4,29,42.9,30:04:00,22.6
2021,11, Arizona,329.2,114.8,4.6,214.4,93.5,41,38.2,28:44:00,21.5
2021,12, Tennessee,329.8,84.6,3.9,245.2,86.4,43,36.7,27:53:00,20.8
2021,13, Tampa Bay,331.5,92.5,4.3,238.9,85.6,47,38.5,29:47:00,20.8
2021,14, Las Vegas,337.2,114.3,4.2,222.9,96.4,35,39.6,30:52:00,25.8
2021,15, Miami,337.5,109.8,4.4,227.7,85.4,48,41.1,30:04:00,21.9
2021,16, Indianapolis,343.2,109.1,4.4,234.1,90.5,33,40.5,28:33:00,21.5
2021,17, L.A. Rams,344.9,103.2,4,241.7,83.8,50,41.3,31:25:00,21.9
2021,18, Cincinnati,350.8,102.5,4.3,248.4,93.1,42,41.6,30:05:00,22.1
2021,19, Dallas,351,112.8,4.5,238.2,76.6,41,34.1,30:00:00,21.1
2021,20, Jacksonville,353.1,125.1,4.3,227.9,100.8,32,43,32:38:00,26.9
2021,21, N.Y. Giants,354.8,129,4.5,225.8,89,34,39.8,31:35:00,24.5
2021,22, Washington,359.3,104.4,4.1,254.9,100.8,38,48.5,29:16:00,25.5
2021,23, L.A. Chargers,360.1,138.9,4.6,221.2,93,35,49.5,31:09:00,27
2021,24, Pittsburgh,361.1,146.1,5,215.1,88.7,55,37.1,31:28:00,23.4
2021,25, Baltimore,363.4,84.5,3.8,278.9,99.4,34,34.8,28:25:00,23.1
2021,26, Atlanta,364.4,131.9,4.3,232.5,97.4,18,48.4,31:50:00,27
2021,27, Kansas City,368.9,117.6,4.8,251.4,92,31,40.2,29:06:00,21.4
2021,28, Seattle,379.1,113.6,3.8,265.5,93.6,34,39.3,35:10:00,21.5
2021,29, Detroit,379.8,135.1,4.4,244.7,101,30,45.1,31:23:00,27.5
2021,30, Minnesota,383.6,130.7,4.7,252.9,91.4,51,36.4,31:47:00,25.1
2021,31, Houston,384.4,142.2,4.6,242.2,94.1,32,43.2,31:45:00,26.6
2021,32, N.Y. Jets,397.6,138.3,4.5,259.4,103.2,33,44.4,32:43:00,29.6
2020,1, L.A. Rams,281.9,91.2,3.8,190.7,80.4,53,35.4,27:58:00,18.5
2020,2, Washington,304.6,112.8,4.2,191.8,81.4,47,37.5,30:05:00,20.6
2020,3, Pittsburgh,305.8,111.4,4.3,194.4,76.7,56,37.4,29:11:00,19.5
2020,4, New Orleans,310.9,93.9,3.9,217,83.3,45,38.2,28:42:00,21.1
2020,5, San Francisco,314.4,106.4,4,207.9,88.6,30,35.5,28:36:00,24.4
2020,6, Tampa Bay,327.1,80.6,3.6,246.6,94.3,48,40,31:05:00,22.2
2020,7, Baltimore,329.8,108.8,4.6,221,87.2,39,34,28:47:00,18.9
2020,8, Indianapolis,332.1,90.5,3.7,241.6,90.5,40,42.4,29:04:00,22.6
2020,9, Green Bay,334,112.8,4.5,221.2,91.1,41,39.5,27:36:00,23.1
2020,10, L.A. Chargers,343.4,119.8,4.5,223.6,91.4,27,43.6,29:26:00,26.6
2020,11, Chicago,344.9,113.4,4.1,231.6,94.9,35,38.1,30:03:00,23.1
2020,12, N.Y. Giants,349.3,111.4,4.1,237.9,93.2,40,44.6,31:18:00,22.3
2020,13, Arizona,351.9,125.5,4.6,226.4,91.5,48,39.6,31:32:00,22.9
2020,14, Buffalo,352.5,119.6,4.6,232.9,86.9,38,39.8,28:14:00,23.4
2020,15, New England,353.8,131.4,4.5,222.3,89.3,24,40.9,31:02:00,22.1
2020,16, Kansas City,358.3,122.1,4.5,236.2,89.4,32,41,29:58:00,22.6
2020,17, Cleveland,358.4,110.8,4.3,247.6,94.8,38,43.9,29:06:00,26.2
2020,18, Carolina,360.1,121,4.7,239.1,98.4,29,49.2,29:00:00,25.1
2020,19, Philadelphia,363.1,125.8,4.2,237.4,102.4,49,37.9,31:21:00,26.1
2020,20, Denver,367.9,130,4.8,237.9,92.1,42,40.2,31:01:00,27.9
2020,21, Miami,367.9,116.4,4.5,251.5,87,41,31.2,28:43:00,21.1
2020,22, Seattle,380.6,95.6,3.9,285,90.2,46,47.1,30:28:00,23.2
2020,23, Dallas,386.4,158.8,5,227.6,100.4,31,46.9,31:38:00,29.6
2020,24, N.Y. Jets,387.6,112,4,275.6,103.2,31,44.6,32:06:00,28.6
2020,25, Las Vegas,389.1,125.8,4.6,263.2,95.3,21,48.8,29:27:00,29.9
2020,26, Cincinnati,389.2,148,5.1,241.2,96.1,17,43.3,29:28:00,26.5
2020,27, Minnesota,393.2,134.4,4.6,258.8,97,23,39.5,30:28:00,29.7
2020,28, Tennessee,398.2,120.8,4.5,277.4,97.5,19,51.9,31:47:00,27.4
2020,29, Atlanta,398.4,104.8,4.4,293.6,101.7,29,41,29:18:00,25.9
