Season,RK,NAME,QBR,PAA,Plays,EPA,PASS,RUN,SACK,PEN,RAW
2021,1,Aaron RodgersGB,69.1,32.8,610,95.8,85.1,5.2,-12.6,5.4,68.2
2021,2,Tom BradyTB,68.1,40.1,798,118.5,109.8,4.9,-8.7,3.8,67.1
2021,3,Justin HerbertLAC,65.6,39.9,808,120.3,100.5,14.9,-12.9,4.9,66.8
2021,4,Matthew StaffordLAR,63.8,28.3,686,92.7,88.3,2.7,-13.1,1.7,64.2
2021,5,Patrick MahomesKC,62.2,30.1,803,108.3,85.5,18.1,-9,4.7,63
2021,6,Josh AllenBUF,60.7,28.2,828,110.8,80.9,29.5,-10.5,0.3,61.8
2021,7,Kyler MurrayARI,57.3,10.1,632,74.1,61.6,10.4,-13.3,2.1,55.7
2021,8,Ryan TannehillTEN,55.9,10.8,680,80.8,59.5,16.8,-17.5,4.5,55.6
2021,9,Carson WentzIND,54.7,8.3,648,74.3,58.3,9.6,-15.7,6.3,54.5
2021,10,Russell WilsonSEA,54.7,3.5,500,55.4,45,7.8,-15.2,2.6,52.5
2021,11,Dak PrescottDAL,54.6,15.2,721,85.8,90.2,-7.7,-10.7,3.4,57.4
2021,12,Joe BurrowCIN,54.3,14.1,642,79.4,68.1,9.6,-22.9,1.7,57.7
2021,13,Jimmy GaroppoloSF,53.3,2.9,530,57.8,56.6,-0.7,-11.7,1.9,52
2021,14,Derek CarrLV,52.4,8.2,747,83.9,72.1,3.6,-14.8,8.2,53.9
2021,15,Kirk CousinsMIN,52.3,3.2,650,74,73,0.4,-13.3,0.5,51.7
2021,16,Mac JonesNE,50.9,0.6,631,62.9,60.6,-0.4,-13.8,2.7,50.3
2021,17,Lamar JacksonBAL,50.7,1.3,574,62.7,43.7,18.2,-13,0.9,50.8
2021,18,Tua TagovailoaMIA,49.7,1.5,471,51.8,46.8,4.3,-9.4,0.7,51.2
2021,19,Jalen HurtsPHI,48.5,4.2,622,65.7,36.4,28.1,-10.9,1.2,52.4
2021,20,Teddy BridgewaterDEN,47.4,1.1,519,52.5,43.5,5.7,-13.3,3.3,50.8
2021,21,Matt RyanATL,46.1,-5.8,684,64.9,68.3,-6.4,-16.3,3.1,47
2021,22,Daniel JonesNYG,41.5,-7.4,472,41.7,32.1,5.4,-8.1,4.2,44.5
2021,23,Taylor HeinickeWSH,39.9,-15.3,624,50.9,39.8,7.4,-15,3.6,41.4
2021,24,Jared GoffDET,39.5,-21.1,587,37.4,41.6,-4.6,-16.8,0.4,37.5
2021,25,Ben RoethlisbergerPIT,35.6,-31.3,705,42.5,35.9,2.2,-13.9,4.4,34.8
2021,26,Davis MillsHOU,35.5,-21,471,25.9,23.5,-1,-12,3.4,34.8
2021,27,Baker MayfieldCLE,35.1,-23.3,529,34.4,26.9,5.5,-20.8,2,34.9
2021,28,Trevor LawrenceJAX,33.5,-40.1,758,37.9,32.3,4.1,-11.7,1.5,32.1
2021,29,Sam DarnoldCAR,33.2,-26.5,508,27.2,20,6.8,-12.4,0.4,32.3
2021,30,Zach WilsonNYJ,28.2,-32.5,472,17.9,7.3,5.5,-18.5,5.1,27.4
2021,31,Justin FieldsCHI,26.4,-29.3,397,13.7,6.5,5.1,-15.3,2.1,26.1
2020,1,Aaron RodgersGB,79.8,64.4,608,113.1,98.4,9.3,-7,5.4,81.7
2020,2,Patrick MahomesKC,78.1,70.9,710,138.1,116.1,19.1,-9.4,2.9,80.4
2020,3,Josh AllenBUF,76.6,63.2,729,128.6,112.1,13,-11,3.5,77.3
2020,4,Ryan TannehillTEN,72.6,43.9,594,95.3,68.2,22.1,-11.2,5,74
2020,5,Ryan FitzpatrickMIA,70.9,22.5,324,49.9,41.6,5.6,-5.1,2.7,72.8
2020,6,Drew BreesNO,68.3,27.1,428,66.2,62.5,1,-6.2,2.8,71
2020,7,Lamar JacksonBAL,67.3,31.9,585,82.9,50.9,30.8,-8.9,1.2,68.4
2020,8,Russell WilsonSEA,67.1,32.7,716,102.9,88.6,9.1,-20.7,5.1,65.6
2020,9,Tom BradyTB,66,34.3,681,94.7,90.4,-3.1,-8.6,7.3,67.1
2020,10,Baker MayfieldCLE,65.5,26.1,597,83.6,76.9,3.3,-10.6,3.4,65
2020,11,Derek CarrLV,64.3,28.8,609,91.1,76.1,7.4,-10.7,7.6,66.2
2020,12,Deshaun WatsonHOU,63.7,31.9,715,99.6,85.9,12,-19.5,1.7,65.3
2020,13,Justin HerbertLAC,62.6,36.4,699,102.3,94.9,3.7,-13.3,3.7,67.6
2020,14,Kyler MurrayARI,61.9,24.7,763,99.9,64.5,32.3,-11.8,3.1,61.3
2020,15,Matthew StaffordDET,61.3,20.7,626,77.3,64.7,9,-14.1,3.7,61.5
2020,16,Matt RyanATL,59.8,23.6,731,90.1,80.6,4.7,-17.4,4.9,61.2
2020,17,Teddy BridgewaterCAR,56.8,12,607,71.7,54.8,12.3,-12.6,4.6,57
2020,18,Kirk CousinsMIN,55.8,15.7,629,76.9,67.6,6.4,-18.2,2.9,58.7
2020,19,Philip RiversIND,55,13.7,600,73.4,68.1,-0.1,-8.2,5.5,58
2020,20,Daniel JonesNYG,54,-1,586,57.6,42.7,10,-16.9,4.8,49.4
2020,21,Mitch TrubiskyCHI,53.8,7.6,376,41,32.3,7.2,-7.5,1.5,57.1
2020,22,Ben RoethlisbergerPIT,52.5,6.4,677,76,71.6,-5.1,-6.4,9.4,53.3
2020,23,Jared GoffLAR,50.8,-1.6,650,64,56.8,2.8,-11,4.4,49.2
2020,24,Joe BurrowCIN,48.5,-4.6,510,47.8,46.9,-0.5,-13.3,1.5,46.8
2020,25,Andy DaltonDAL,46.1,-8.9,409,30.9,26.2,2.5,-12.1,2.2,42.3
2020,26,Tua TagovailoaMIA,44.8,-2.1,362,32.4,24.6,6.6,-8.9,1.3,47.9
2020,27,Gardner MinshewJAX,44,-2,403,31.9,24.9,5.1,-12.3,1.9,48.2
